x,y,z
195.823,911.277,-325.454
182.393,888.036,-425.593
184.307,852.802,-484.277
177.129,8.7341,-4.366
184.307,852.802,-447.159
185.264,828.605,-469.651
175.454,838.445,-473.988
179.522,8.5352,-508.236
167.318,844.427,-521.875
165.404,830.549,-509.671
1.8,809.462,-543.679
181.914,819.033,-550.618
170.429,848.734,-517.807
1.666,842.752,-548.465
200.369,815.444,-541.286
205.155,829.083,-488.345
175.214,869.103,-465.105
184.786,8.6695,-478.535
198.694,842.991,-504.886
174.975,830.788,-520.678
1.4671,865.275,-453.619
164.207,887.079,-404.985
198.455,892.104,-388.684
197.258,895.215,-338.136
149.103,922.284,-272.991
120.838,923.241,-35.659
189.332,9.0359,-402.114
2.3677,901.436,-3.166
1.9678,924.916,-20.351
123.709,956.531,-157.537
99.033,959.642,-229.861
143.839,932.573,-289.532
187.657,9.4337,-230.578
194.865,961.077,-149.372
149.821,962.274,-112.971
1.1004,9.5007,-182.453
1.4336,957.009,-169.262
188.375,987.428,-31.765
173.539,999.901,-23.151
132.802,979.532,-131.904
127.298,943.849,-202.552
172.343,946.481,-139.083
193.908,978.575,-48.066
175.693,9.9344,-49.023
141.685,987.667,-91.645
142.403,972.114,-102.443
152.931,961.316,-112.253
159.392,965.893,-74.178
1.5676,972.114,-5.333
146.949,970.439,-91.167
145.274,966.611,-10.986
163.699,979.053,-66.251
158.913,997.029,-24.108
1.666,985.753,1.765
161.306,968.046,4.397
146.471,967.328,-20.758
144.078,979.053,-15
158.913,982.403,51.356
1.6684,975.943,57.338
155.324,967.089,60.209
149.342,961.316,61.436
154.367,9.8001,64.068
160.588,985.993,82.014
150.538,974.507,89.222
149.103,955.813,87.278
165.404,951.985,117.727
169.472,956.531,1.6681
157.478,967.807,193.878
147.667,974.507,212.333
137.856,969.961,212.333
130.887,962.752,177.129
139.292,957.249,188.854
142.642,945.524,231.506
1.3017,939.781,269.342
125.862,9.4026,292.343
120.359,938.824,281.575
120.359,934.008,2.9354
125.623,927.787,307.448
122.991,923.001,308.166
112.941,927.069,330.927
105.972,929.462,358.475
115.813,913.669,360.389
117.966,9.0359,326.351
102.861,900.479,331.167
92.572,8.9689,374.267
91.854,896.411,402.293
94.965,900.479,420.987
95.683,892.104,455.713
103.579,871.257,468.903
101.186,868.146,4.5021
100.229,8.7006,450.449
102.861,870.778,476.082
104.536,867.667,482.782
109.561,861.446,472.253
103.579,849.691,454.038
89.701,844.666,446.381
84.437,852.323,4.7345
90.897,848.734,516.341
103.819,839.881,534.766
105.494,823.101,530.698
99.751,817.358,507.219
93.529,818.794,516.341
92.572,814.965,559.681
100.229,811.616,575.982
106.451,805.394,5.7
101.904,794.836,567.338
100.469,786.461,5.7359
100.469,776.172,579.572
99.272,775.903,589.382
103.579,774.228,603.051
103.819,762.264,621.954
105.494,750.778,634.906
96.879,742.373,6.3682
95.683,739.741,6.3012
97.837,741.177,631.316
98.794,732.802,653.121
103.819,716.262,6.6676
104.776,708.365,665.324
94.247,704.537,667.717
89.462,702.622,673.939
93.051,696.162,683.061
94.726,682.493,695.743
101.426,672.682,695.743
96.162,668.585,695.025
9.329,654.945,708.216
100.947,643.699,717.787
109.322,634.577,745.095
113.181,620.698,779.103
1.0334,613.729,796.122
101.904,606.551,789.901
112.463,601.765,798.036
114.138,596.262,801.626
122.991,588.335,771.925
1.2012,575.414,745.334
118.205,560.549,729.033
116.052,5.6007,759.243
1.1004,552.892,829.651
107.886,540.927,867.279
1.1004,527.019,861.027
111.984,514.337,836.591
107.886,508.325,813.141
106.451,505.215,811.227
108.365,4.9995,819.841
108.126,492.293,814.577
112.223,481.496,816.012
1.0334,462.832,835.873
101.665,452.991,871.825
105.972,436.481,898.176
107.408,433.609,895.783
100.229,424.726,897.697
101.186,412.762,889.293
105.015,402.951,879.482
105.733,395.025,884.028
100.229,390.479,901.526
106.211,372.263,934.098
111.027,357.906,932.662
99.272,357.428,897.937
91.137,352.882,907.747
87.787,347.348,926.202
9.018,3.4352,919.741
95.922,3.3012,914.208
91.615,323.181,9.2357
8.659,317.169,938.645
8.659,310.469,941.277
81.057,305.205,939.602
81.535,302.572,939.841
83.719,292.732,9.3003
81.775,297.787,918.066
8.321,298.744,911.815
81.535,288.903,917.558
76.271,275.025,935.295
76.989,270.239,951.835
78.903,264.706,943.909
74.596,2.6327,932.902
69.811,257.049,925.963
62.632,252.742,939.123
60.479,244.367,9.6021
62.632,240.748,968.106
63.589,2.3668,954.228
63.829,231.416,935.773
69.332,222.562,935.534
64.068,221.366,947.528
66.939,212.483,959.731
65.504,204.586,971.725
59.043,198.844,960.688
56.142,197.886,942.712
59.761,197.408,948.964
6.335,188.794,9.6332
59.521,182.782,965.953
58.086,1.768,960.688
58.564,1.701,9.5351
64.068,158.345,945.374
61.436,1.5667,9.5686
59.521,152.124,978.186
59.282,144.227,980.579
62.632,1.3343,978.664
0.6,127.687,992.543
60.479,125.294,990.629
61.675,125.533,969.063
63.829,123.141,958.296
62.632,1.2003,957.578
56.889,115.484,964.756
55.424,113.091,979.382
61.914,107.587,983.689
64.307,104.686,973.161
60.957,1.066,956.381
59.521,104.447,956.142
60.479,97.986,9.7675
58.804,91.286,9.801
60.957,88.176,967.628
0.6,87.458,965.953
57.129,85.543,971.725
0.6,80.758,972.443
55.663,80.518,961.406
59.043,73.071,969.063
59.282,66.849,978.425
59.521,62.782,977.468
0.6,5.991,9.7026
57.607,58.953,9.7026
54.467,55.843,979.382
58.325,46.241,977.707
63.829,40.499,965.474
58.564,40.499,955.185
5.327,39.541,976.989
54.467,31.406,998.076
59.282,2.348,979.861
61.436,2.348,962.603
59.043,19.412,976.511
60.479,984,990.868
6.335,5.294,9.7026
59.761,10.319,954.706
54.227,7.448,974.118
5.662,-2.393,998.794
58.325,-8.614,990.868
63.829,-12.203,980.339
67.418,-1.651,969.303
64.786,-18.185,956.621
59.043,-134,949.203
61.914,-18.664,9.6021
65.982,-2.656,985.364
65.743,-33.529,995.175
65.504,-39.751,982.732
67.896,-3.999,962.842
71.246,-41.665,969.303
68.614,-44.536,9.801
70.289,-46.451,972.443
74.357,-5.339,956.621
72.921,-5.653,951.835
69.811,-57.488,9.7026
70.289,-62.273,984.168
79.143,-73.519,981.297
74.596,-77.109,976.032
68.614,-75.194,9.7675
734,-77.348,970.738
79.621,-85.753,9.6667
77.707,-85.513,976.272
81.775,-92.931,974.118
85.155,-97.717,949.681
73.639,-91.735,9.5686
74.357,-91.017,974.597
81.775,-10.346,969.063
76.271,-103.938,965.474
75.793,-108.036,978.904
78.664,-110.907,977.229
83.719,-111.864,960.688
90.897,-117.368,941.516
81.296,-118.325,942.952
82.971,-123.829,960.688
91.615,-132.443,948.246
8.345,-128.136,959.731
801,-135.344,998.555
85.155,-149.462,10.1363
95.444,-15.329,981.536
107.169,-157.597,935.295
100.229,-143.958,938.645
